"Minister of finance, Economic Stabilization and National Policies",National Planning Department
"Minister of finance, Economic Stabilization and National Policies",Department of Project Management and Monitoring
"Minister of finance, Economic Stabilization and National Policies",Department of External Resources
"Minister of finance, Economic Stabilization and National Policies",State Resources Management Corporation
"Minister of finance, Economic Stabilization and National Policies",General Treasury
"Minister of finance, Economic Stabilization and National Policies",Department of Fiscal Policy
"Minister of finance, Economic Stabilization and National Policies",Department of National Budget
"Minister of finance, Economic Stabilization and National Policies",Department of Management Services
"Minister of finance, Economic Stabilization and National Policies",Department of Public Finance
"Minister of finance, Economic Stabilization and National Policies",Department of Treasury Operations
"Minister of finance, Economic Stabilization and National Policies",Department of State Accounts
"Minister of finance, Economic Stabilization and National Policies",Department of Trade and Investment Policies
"Minister of finance, Economic Stabilization and National Policies",Department of Information Technology Management
"Minister of finance, Economic Stabilization and National Policies",Department of Legal Affairs
"Minister of finance, Economic Stabilization and National Policies",Department of Management Audit
"Minister of finance, Economic Stabilization and National Policies",Department of Development Finance
"Minister of finance, Economic Stabilization and National Policies",Department of Public Enterprises
"Minister of finance, Economic Stabilization and National Policies",Office of Comptroller General
"Minister of finance, Economic Stabilization and National Policies",Department of Inland Revenue
"Minister of finance, Economic Stabilization and National Policies",Sri Lanka Customs
"Minister of finance, Economic Stabilization and National Policies",Department of Excise
"Minister of finance, Economic Stabilization and National Policies",National Lotteries Board
"Minister of finance, Economic Stabilization and National Policies",Development Lotteries Board
"Minister of finance, Economic Stabilization and National Policies",Department of Valuation
"Minister of finance, Economic Stabilization and National Policies",Import and Export Control Department
"Minister of finance, Economic Stabilization and National Policies",Sri Lanka Export Development Board
"Minister of finance, Economic Stabilization and National Policies",Central Bank of Sri Lanka
"Minister of finance, Economic Stabilization and National Policies","All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions"
"Minister of finance, Economic Stabilization and National Policies",Insurance Regulatory Commission of Sri Lanka
"Minister of finance, Economic Stabilization and National Policies",Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies
"Minister of finance, Economic Stabilization and National Policies",Credit Information Bureau
"Minister of finance, Economic Stabilization and National Policies",Department of the registrar of Companies
"Minister of finance, Economic Stabilization and National Policies",Securities and Exchange Commission of Sri Lanka
"Minister of finance, Economic Stabilization and National Policies",Sri Lanka Accounting and Auditing Standard Monitoring Board
"Minister of finance, Economic Stabilization and National Policies",Public utilities Commission of Sri lanka
"Minister of finance, Economic Stabilization and National Policies",Sri Lanka Export Credit Insurance Corporation
"Minister of finance, Economic Stabilization and National Policies",Housing Development finance Corporation
"Minister of finance, Economic Stabilization and National Policies",State Mortgage and Investment Bank
"Minister of finance, Economic Stabilization and National Policies",regional Development Bank
"Minister of finance, Economic Stabilization and National Policies",Tax Appeals Commission
"Minister of finance, Economic Stabilization and National Policies",Department of Census and Statistics
"Minister of finance, Economic Stabilization and National Policies",institute of Policy Studies
"Minister of finance, Economic Stabilization and National Policies",Sustainable Development Council
"Minister of finance, Economic Stabilization and National Policies",Welfare Benefits Board
"Minister of finance, Economic Stabilization and National Policies",Public Service Mutual Provident Fund
"Minister of finance, Economic Stabilization and National Policies","Strike, Riot, Civil Commotion and Terrorism Fund"
"Minister of finance, Economic Stabilization and National Policies",National Insurance Trust Fund
"Minister of finance, Economic Stabilization and National Policies",Employees' Trust fund
"Minister of finance, Economic Stabilization and National Policies",Lady Lochore Fund
"Minister of finance, Economic Stabilization and National Policies",Board of investment of Sri lanka
"Minister of finance, Economic Stabilization and National Policies",Colombo Port City Economic Commission
"Minister of finance, Economic Stabilization and National Policies",Department of Telecommunications
"Minister of finance, Economic Stabilization and National Policies",Wildlife Trust
"Minister of finance, Economic Stabilization and National Policies",Sri lanka Media Training institute
"Minister of finance, Economic Stabilization and National Policies",Department of internal Trade
"Minister of finance, Economic Stabilization and National Policies","Pulse Crops, Grain research and Production authority"
"Minister of finance, Economic Stabilization and National Policies",Janatha Fertilizer Enterprises Ltd.
"Minister of finance, Economic Stabilization and National Policies",Protection of Children - National Trust Fund
"Minister of finance, Economic Stabilization and National Policies",Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury
"Minister of finance, Economic Stabilization and National Policies","Sri Lanka Telecom and its Subsidiaries and Allied Institutions"
"Minister of finance, Economic Stabilization and National Policies","Colombo Lotus Tower Management Company (Pvt.) Limited"
"Minister of finance, Economic Stabilization and National Policies","North Sea Ltd."
"Minister of finance, Economic Stabilization and National Policies","Sri Lanka Thriposha Co. Ltd."
"Minister of finance, Economic Stabilization and National Policies","Galoya Plantation (Pvt.) Company"
"Minister of finance, Economic Stabilization and National Policies","National Salt Limited"
"Minister of finance, Economic Stabilization and National Policies","Sri Lanka Cement Corporation"
"Minister of finance, Economic Stabilization and National Policies","Paranthan Chemicals Ltd"
"Minister of finance, Economic Stabilization and National Policies","BCC (Pvt.) Limited"
"Minister of finance, Economic Stabilization and National Policies","State Engineering Corporation"
"Minister of finance, Economic Stabilization and National Policies","Mahinda Rajapaksa National Tele Cinema Park"
"Minister of finance, Economic Stabilization and National Policies","Lanka General Trading Company Ltd."
Minister of Technology,Information and Communication Technology Agency and Allied Institutions		
Minister of Technology,Sri lanka Computer Emergency readiness Team		
Minister of Technology,Sri lanka Standards institute
Minister of Technology,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions
Minister of Technology,Centre of Excellence for Robotic Applications
Minister of Investment Promotion,Techno Park Development Company (Pvt.) limited		
Minister of Investment Promotion,Information Technology Parks		
Minister of Investment Promotion,Sri Lanka Export Development Board		
Minister of Investment Promotion,Board of Investment of Sri Lanka		
Minister of Investment Promotion,Colombo Port City Economic Commission
Minister of fisheries,Department of fisheries and aquatic resources
Minister of fisheries,National Aquatic Resources Research and Development Agency
Minister of fisheries,National aquaculture Development authority
Minister of fisheries,Ceylon Fisheries Corporation
Minister of fisheries,Ceylon Fishery Harbours Corporation
Minister of fisheries,Cey-Nor foundation ltd
Minister of health,National Health Council
Minister of health,Medical Research Institute
Minister of health,National Institute of Health Sciences
Minister of health,Sri lanka Medical Council
Minister of health,Sri Lanka Medical College Council
Minister of health,Private Health Services regulatory Council
Minister of health,Department of Health Services
Minister of health,"All National, Teaching and Specific Government Hospitals"
Minister of health,School of Medical laboratory Technology
Minister of health,"National institute of Nephrology, Dialysis and Transplantation"
Minister of health,Sri jayewardenepura General Hospital
Minister of health,Vijaya Kumaratunga Memorial Hospital
Minister of health,ashraff Memorial Hospital
Minister of health,National authority on Tobacco and  alcohol
Minister of health,Suwaseriya Foundation
Minister of health,National Health Development Fund
Minister of health,State Pharmaceutical Corporation
Minister of health,State Pharmaceutical Manufacturing Corporation
