Ministry of Defence,Office of the Chief of Defence Staff
Ministry of Defence,Sri Lanka Army
Ministry of Defence,Sri Lanka Navy
Ministry of Defence,Sri Lanka Air Force
Ministry of Defence,Sri Lanka Police
Ministry of Defence,Department of Civil Security
Ministry of Defence,Sir John Kotalawala Defence University
Ministry of Defence,Defence Services Command and Staff College
Ministry of Defence,Ranaviru Seva Authority
Ministry of Defence,Defence Services School
Ministry of Defence,National Cadet Corps
Ministry of Defence,National Defence Fund
Ministry of Defence,State Intelligence Service
Ministry of Defence,Defence Research and Development Centre
Ministry of Defence,Sri Lanka Institute of National Defence Studies
Ministry of Defence,Coast Guard Department of Sri Lanka
Ministry of Defence,Sri Lanka Logistics and Technologies Limited
Ministry of Defence,Rakna Arakshaka Lanka Ltd.
Ministry of Defence,National Dangerous Drugs Control Board
Ministry of Defence,National Media Centre
Ministry of Defence,Department of Government Printing
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Department of National Planning
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Human Resources Development Council
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Operations Room
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Office for Reparations
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs","Rehabilitation of Persons, Properties and Industries Authority"
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Commissioner General of Rehabilitation
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Palmyrah Development Board
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",North Sea Ltd.
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Youth Services Council
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Youth Corps
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Youth Awards Authority
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Youth Services Co-operative Limited
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Centre for Leadership Development
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Tertiary and Vocational Education Commission
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",Vocational Training Authority of Sri Lanka
"Ministry of National Policies, Economic Affairs, Resettlement & Rehabilitation, Northern Province Development, Vocational Training & Skills Development and Youth Affairs",National Apprecnticeship and Industrial Training Authority
